기간,자치구,합계_구간,합계_길이,자전거전용도로_구간,자전거전용도로_길이,자전거보행자겸용도로_구간,자전거보행자겸용도로_길이,자전거전용차로_구간,자전거전용차로_길이,자전거우선도로_구간,자전거우선도로_길이
2018,합계,562,916,95,138.8,322,611.6,48,55,97,110.6
2018,도로변_소계,504,639,78,87.9,281,385.5,48,55,97,110.6
2018,종로구,22,23.7,1,4.1,6,5.9,6,5.8,9,7.9
2018,중구,13,15.4,0,0,2,2.4,1,0.7,10,12.3
2018,용산구,16,22.1,3,1.6,8,10.4,0,0,5,10.1
2018,성동구,22,20.6,3,0.6,10,9.2,2,5.5,7,5.3
2018,광진구,22,29.8,1,0.4,17,25.1,1,0.5,3,3.8
2018,동대문구,22,24.3,4,2.5,11,7.4,0,0,7,14.4
2018,중랑구,8,6.1,4,3.2,4,2.9,0,0,0,0
2018,성북구,7,8,1,0.3,5,5.3,1,2.4,0,0
2018,강북구,3,7,0,0,1,2.7,2,4.3,0,0
2018,도봉구,4,12.3,1,0.7,3,11.6,0,0,0,0
2018,노원구,25,28.3,1,0.9,17,19.9,7,7.5,0,0
2018,은평구,17,26.9,0,0,16,24.6,1,2.3,0,0
2018,서대문구,28,19.4,1,0.4,8,5.9,2,1.9,17,11.2
2018,마포구,33,33.4,5,4.2,4,5.4,7,4.8,17,19
2018,양천구,28,40,13,20.2,13,14.7,0,0,2,5.1
2018,강서구,34,27.9,9,5.4,25,22.5,0,0,0,0
2018,구로구,15,10.9,2,1,9,8.1,2,0.8,2,1
2018,금천구,7,8.2,2,3.8,5,4.4,0,0,0,0
2018,영등포구,43,36.6,7,3.3,10,5,12,12.4,14,15.9
2018,동작구,14,13.4,0,0,13,13.1,0,0,1,0.3
2018,관악구,15,19.5,1,3,5,12.2,0,0,9,4.3
2018,서초구,23,23.5,0,0,20,19,3,4.5,0,0
2018,강남구,27,52.6,3,3.1,22,48,2,1.5,0,0
2018,송파구,50,91.7,12,22,37,67.8,1,1.9,0,0
2018,강동구,33,40.8,5,7.2,27,33,1,0.6,0,0
2018,기타_소계,58,277,17,50.9,41,226.1,0,0,0,0
2018,교량,8,7.3,1,1.1,7,6.2,0,0,0,0
2018,하천,45,263.7,14,46.1,31,217.6,0,0,0,0
2018,공원,5,6,2,3.7,3,2.3,0,0,0,0
