기간,지역,발생건수,사망자수,부상자수
2015,종로구,59,0,62
2015,중구,39,0,40
2015,용산구,69,1,74
2015,성동구,159,1,176
2015,광진구,183,1,198
2015,동대문구,253,1,259
2015,중랑구,224,1,244
2015,성북구,123,2,127
2015,강북구,129,2,134
2015,도봉구,115,0,122
2015,노원구,206,5,214
2015,은평구,139,0,156
2015,서대문구,71,0,74
2015,마포구,189,1,193
2015,양천구,187,3,192
2015,강서구,211,1,226
2015,구로구,161,1,173
2015,금천구,72,0,79
2015,영등포구,337,4,366
2015,동작구,131,0,141
2015,관악구,96,0,99
2015,서초구,102,0,108
2015,강남구,180,2,192
2015,송파구,422,1,462
2015,강동구,205,0,218
2016,종로구,50,0,53
2016,중구,26,0,27
2016,용산구,67,0,75
2016,성동구,123,1,132
2016,광진구,120,0,126
2016,동대문구,238,2,247
2016,중랑구,191,0,207
2016,성북구,94,0,94
2016,강북구,103,1,110
2016,도봉구,131,2,136
2016,노원구,173,2,178
2016,은평구,105,3,111
2016,서대문구,62,2,65
2016,마포구,139,0,148
2016,양천구,186,2,194
2016,강서구,182,1,188
2016,구로구,172,2,182
2016,금천구,51,1,54
2016,영등포구,291,2,314
2016,동작구,105,2,119
2016,관악구,69,1,68
2016,서초구,103,0,104
2016,강남구,131,0,142
2016,송파구,375,0,412
2016,강동구,216,0,232
2017,종로구,57,1,62
2017,중구,27,1,29
2017,용산구,63,0,70
2017,성동구,100,3,103
2017,광진구,108,2,110
2017,동대문구,195,2,200
2017,중랑구,197,1,211
2017,성북구,98,1,101
2017,강북구,90,0,102
2017,도봉구,125,1,127
2017,노원구,138,0,146
2017,은평구,83,0,86
2017,서대문구,59,0,62
2017,마포구,103,0,108
2017,양천구,136,1,138
2017,강서구,140,3,147
2017,구로구,122,2,123
2017,금천구,53,0,54
2017,영등포구,222,2,234
2017,동작구,97,1,109
2017,관악구,54,0,57
2017,서초구,58,0,59
2017,강남구,122,1,126
2017,송파구,365,2,396
2017,강동구,178,6,183
2018,종로구,40,0,41
2018,중구,14,1,7
2018,용산구,39,0,50
2018,성동구,106,2,111
2018,광진구,114,2,120
2018,동대문구,202,3,213
2018,중랑구,129,1,132
2018,성북구,65,0,65
2018,강북구,81,1,82
2018,도봉구,99,1,99
2018,노원구,154,1,157
2018,은평구,102,1,104
2018,서대문구,47,0,54
2018,마포구,84,1,88
2018,양천구,117,0,127
2018,강서구,93,2,94
2018,구로구,92,1,95
2018,금천구,47,0,50
2018,영등포구,267,5,280
2018,동작구,113,0,125
2018,관악구,39,1,34
2018,서초구,70,0,69
2018,강남구,109,2,118
2018,송파구,336,1,365
2018,강동구,121,2,116
